name,prices,sale_tags,url
Babolat B'Fly 25 Junior Racket,"[21.9, 24.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_BFly_25_Junior_Racket/descpageRCQBA-BBF25R-EN.html
Babolat Ballfighter 25 Junior Racket,"[19.9, 24.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_25_Junior_Racket/descpageRCQBA-BBJ25R-EN.html
Babolat Drive 24 Junior Racket,"[48.91, 54.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Drive_24_Junior_Racket_/descpageRCQBA-BRDJ24-EN.html
Babolat Drive 24 Junior Racket Pink/White,"[48.91, 54.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Drive_24_Junior_Racket_Pink_White/descpageRCQBA-BRDP24-EN.html
Babolat Strike 24 Junior Racket,"[48.91, 54.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Strike_24_Junior_Racket_/descpageRCQBA-BRS24J-EN.html
Head Revolt Pro 3.5 Clay Red/Blue Men's Shoes,"[124.91, 140.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Head_Revolt_Pro_35_Clay_Red_Blue_Mens_Shoes/descpageMSHEAD-HMRP3RB-EN.html
Head Sprint Team 3.0 Clay Blue/Navy Men's Shoes,"[79.91, 100.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Head_Sprint_Team_30_Clay_Blue_Navy_Mens_Shoes/descpageHEAD-HMST3BN-EN.html
Head Revolt Pro 3.5 White/Grey Men's Shoes,"[119.9, 140.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Head_Revolt_Pro_35_White_Grey_Mens_Shoes/descpageMSHEAD-HMRP3WG-EN.html
Head Revolt Pro 3.5 Clay Black/Blue Men's Shoes,"[124.91, 140.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Head_Revolt_Pro_35_Clay_Black_Blue_Mens_Shoes/descpageMSHEAD-HMRP3BB-EN.html
Babolat Jet Mach III AC Black/Gold Men's Shoes,"[124.91, 140.0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_III_AC_Black_Gold_Mens_Shoes/descpageMSQBA-BMJM3BG-EN.html
Babolat Jet Mach III AC White Men's Shoes,"[111.89, 140.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_III_AC_White_Mens_Shoes/descpageMSQBA-BMJM3WH-EN.html
Babolat Jet Mach II AC White/Blue/Yellow Men's Shoes,"[69.9, 150.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_II_AC_White_Blue_Yellow_Mens_Shoes/descpageMSQBA-BMJM2WB-EN.html
Babolat Jet Mach II AC White/Navy/Orange Men's Shoes,"[69.9, 150.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_II_AC_White_Navy_Orange_Mens_Shoes/descpageMSQBA-BMJM2WN-EN.html
Babolat Jet Mach II Clay Red/Black Men's Shoes,"[59.9, 150.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_II_Clay_Red_Black_Mens_Shoes/descpageMSQBA-BMJMCYR-EN.html
Asics Court FF 2 Blue/Amber Men's Shoes,"[161.99, 180.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_Blue_Amber_Mens_Shoes/descpageMSASICSP-AMCFFBA-EN.html
Asics Court Speed FF Clay White/Mako Blue Men's Shoes,"[90.0, 120.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Court_Speed_FF_Clay_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AMCSCWM-EN.html
Asics Gel Challenger 12 White/Red Men's Shoes,"[85.0, 100.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Challenger_12_White_Red_Mens_Shoes/descpageMSASICSP-AMCH2WR-EN.html
Asics Gel Challenger 12 Clay White/Red Men's Shoes,"[70.0, 100.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Challenger_12_Clay_White_Red_Mens_Shoes/descpageMSASICSP-AMCHCRW-EN.html
Asics Gel Game 8 Clay White/Mako Blue Men's Shoes,"[71.99, 80.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Game_8_Clay_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AGG8CWB-EN.html
Asics Gel Game 8 White/Mako Blue Men's Shoes,"[71.99, 80.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Game_8_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AMG8CWM-EN.html
Diadora SPD Blushield Fly 3 Clay White/Yellow Mens Shoe,"[107.9, 135.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Diadora_SPD_Blushield_Fly_3_Clay_White_Yellow_Mens_Shoe/descpageMSDIAT-DMSBFWY-EN.html
Diadora S.Shot 2 Clay Grey/Black Men's Shoe,"[63.9, 80.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Diadora_SShot_2_Clay_Grey_Black_Mens_Shoe/descpageMSDIAT-DMSS2GB-EN.html
