name,prices,sale_tag,url
nike air zoom vapor pro clay dark teal/green men's shoe,"[109.9, 0, 0]",New,https://www.tenniswarehouse-europe.com/Nike_Air_Zoom_Vapor_Pro_Clay_Dark_Teal_Green_Mens_Shoe/descpageMSNIKEH-NMVPCTR-EN.html
nike vapor lite clay black/green men's shoe,"[62.91, 69.99, 0]",New,https://www.tenniswarehouse-europe.com/Nike_Vapor_Lite_Clay_Black_Green_Mens_Shoe/descpageMSNIKEH-NMVLCBG-EN.html
nike react vapor nxt clay black/white men's shoe,"[159.9, 179.99, 0]",New,https://www.tenniswarehouse-europe.com/Nike_React_Vapor_Nxt_Clay_Black_White_Mens_Shoe/descpageMSNIKEH-NRNMCBW-EN.html
nike react vapor nxt clay teal green/white men's shoe,"[160.9, 179.99, 0]",New,https://www.tenniswarehouse-europe.com/Nike_React_Vapor_Nxt_Clay_Teal_Green_White_Mens_Shoe/descpageMSNIKEH-NRNMCGW-EN.html
diadora s.star k ace ag white/blue men's shoe,"[74.9, 135.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Diadora_SStar_K_Ace_AG_White_Blue_Mens_Shoe/descpageMSDIAT-DMSKAWB-EN.html
asics solution speed ff 2 white/black men's shoes,"[134.99, 150.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_White_Black_Mens_Shoes/descpageMSASICSP-AMSSFWB-EN.html
asics solution speed ff indoor white/peacoat men's shoe,"[103.9, 150.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_Indoor_White_Peacoat_Mens_Shoe/descpageMSASICS-ASSFIWP-EN.html
asics gel resolution 8 clay white/mako blue men's shoes,"[98.0, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Gel_Resolution_8_Clay_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AMR8CWM-EN.html
adidas court control black/white/solar red men's shoe,"[62.91, 70.0, 0]",New,https://www.tenniswarehouse-europe.com/adidas_Court_Control_Black_White_Solar_Red_Mens_Shoe/descpageMSADIT-AMCCBWR-EN.html
adidas court control grey/black/white men's shoe,"[62.91, 70.0, 0]",New,https://www.tenniswarehouse-europe.com/adidas_Court_Control_Grey_Black_White_Mens_Shoe/descpageMSADIT-AMCCGBW-EN.html
adidas adizero club black/silver men's shoe,"[49.9, 69.95, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_Adizero_Club_Black_Silver_Mens_Shoe/descpageMSADIT-AMACBBS-EN.html
babolat propulse fury ac black/white men's shoes,"[119.9, 140.0, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Propulse_Fury_AC_Black_White_Mens_Shoes/descpageMSQBA-BMPFBWH-EN.html
babolat jet tere ac blue/red men's shoes,"[89.9, 100.0, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Jet_Tere_AC_Blue_Red_Mens_Shoes/descpageMSQBA-BMJTBL-EN.html
babolat jet mach iii clay green/purple men's shoes,"[124.91, 140.0, 0]",New,https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_III_Clay_Green_Purple_Mens_Shoes/descpageMSQBA-BMJM3CG-EN.html
head revolt pro 3.5 clay red/blue men's shoes,"[124.91, 140.0, 0]",,https://www.tenniswarehouse-europe.com/Head_Revolt_Pro_35_Clay_Red_Blue_Mens_Shoes/descpageMSHEAD-HMRP3RB-EN.html
head sprint team 3.0 clay blue/navy men's shoes,"[79.91, 100.0, 0]",,https://www.tenniswarehouse-europe.com/Head_Sprint_Team_30_Clay_Blue_Navy_Mens_Shoes/descpageHEAD-HMST3BN-EN.html
head revolt pro 3.5 white/grey men's shoes,"[119.9, 140.0, 0]",,https://www.tenniswarehouse-europe.com/Head_Revolt_Pro_35_White_Grey_Mens_Shoes/descpageMSHEAD-HMRP3WG-EN.html
